load_zone,coal_gas,coal_gas_ccs,biomass_gas,gas_smr,gas_smr_ccs,bio_smr,bio_smr_ccs,gas_atr_ccs,bio_atr_ccs
AZ_APS_E,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
AZ_APS_N,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
AZ_APS_SW,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
AZ_NM_N,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
AZ_NW,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
AZ_PHX,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
AZ_SE,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CA_IID,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CA_LADWP,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CA_PGE_BAY,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CA_PGE_CEN,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CA_PGE_N,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CA_PGE_S,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CA_SCE_CEN,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CA_SCE_S,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CA_SCE_SE,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CA_SCE_VLY,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CA_SDGE,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CA_SMUD,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CO_DEN,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CO_E,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CO_NW,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CO_SW,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
ID_E,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
ID_S_OR_E,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
MT_NE,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
MT_NW,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
MT_SE,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
MT_SW,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
NM_N,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
NM_S_TX_EPE,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
NV_N,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
NV_S,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
OR_E,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
OR_PDX,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
OR_W,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
OR_WA_BPA,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
UT_N,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
UT_S,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
WA_ID_AVA,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
WA_N_CEN,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
WA_SEATAC,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
WA_W,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9
WY_NE,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
WY_NW,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
WY_SE,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
WY_SW,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9